title,content,url,date,source
黎巴嫩新增新冠肺炎确诊病例11例，累计达120人,　　原标题：黎巴嫩新增新冠肺炎确诊病例11例，累计达120人　　当地时间17日黎巴嫩卫生部公布，黎巴嫩再确诊新冠肺炎患者11人，确诊总人数已上升至120人。　　黎巴嫩卫生部表示，在过去48小时中，有2名患者康复，2人在病毒测试中都呈阴性反应。黎巴嫩目前的总治愈人数为1人。（总台记者 孙虎）责任编辑：吴金明 ,https://news.sina.com.cn/w/2020-03-17/doc-iimxyqwa1220094.shtml,2020年03月17日 19:24,央视
富时罗素：A股最新一批纳入指数分两步实施 降低风险,　　原标题：富时罗素：A股最新一批纳入指数将分成两步实施，降低风险　　3月17日，指数编制公司富时罗素临时公告称，A股最新一批纳入指数将分成两步实施。　　公告显示，分两步走就是指，最新一批纳入规模的四分之一在2020年3月实施，其余四分之三将在2020年6月的指数评估时实施。上述调整将影响FTSE GEIS旗舰指数系列及其衍生指数系列，如FTSE All-World。　　尽管富时罗素仍认为，基于最初通知中所述的原因，指数评估应基本上按照最初宣布的那样进行，但它已确定，如果将沙特阿拉伯和中国A股的最终纳入份额一分为二，将显著降低市场参与者实施富时罗素指数审核的风险。　　富时罗素表示，将沙特阿拉伯和中国A股3月份的纳入比例降至原计划规模的四分之一，将使富时环球全部股票指数（FTSE Global All Cap index）和富时新兴市场指数（FTSE Emerging All Cap index）的预期双向换手率从1.54%降至1.01%，从8.42%降至3.77%。　　根据富时罗素此前公布的方案，第一阶段分三步。第一步，2019年6月，A股以5%纳入因子首次纳入富时罗素指数；第二步，2019年9月，A股纳入因子将由5%升至15%；第三步，2020年3月，A股纳入因子将由15%升至25%。第一阶段纳入全部完成后，A股在富时罗素全球股票指数和新兴市场指数中的权重将分别提升至0.57%和5.57%。　　2月21日晚间，富时罗素公布了其旗舰指数系列（富时GEIS）2020年2月的季度调整结果。这是富时罗素对于A股的第一阶段纳入计划的最后一步，本次季度调整如期将中国A股的纳入因子由15%提升至25%。　　根据当时富时罗素官网上公布的计划，本次调整新纳入88只中国A股，其中大盘A股共10只，中盘A股7只，小盘A股67只，以及微盘A股4只。此外本次调整还对此前已纳入的部分A股标的重新进行了市值分类。　　此外，因市值变化导致的调整包括：27只大盘股降为中盘股；16只中盘股升至大盘股，4只中盘股降为小盘股；1只小盘股升为大盘股，5只小盘股升为中盘股。剔除方面，仅1股被剔除出微盘股。　　当时，富时罗素表示，上述调整结果将于3月20日收盘后生效。　　富时罗素表示，继续关注事态的发展，并将在形势发生变化时发布进一步通知。责任编辑：陈志杰 ,https://finance.sina.com.cn/roll/2020-03-17/doc-iimxxstf9783807.shtml,2020年03月17日 19:25,澎湃新闻
中国向纳米比亚捐赠1000套快速检测试剂,　　原标题：中国向纳米比亚捐赠1000套快速检测试剂　　当地时间3月17日，来自中国的1000套新冠肺炎快速检测试剂，已经运抵纳米比亚。我驻纳米比亚使馆将尽快移交给纳米比亚卫生和社会服务部，这将又望提高纳米比亚的测试能力和效率。（总台记者 马培敏）　责任编辑：吴金明 ,https://news.sina.com.cn/c/2020-03-17/doc-iimxyqwa1220326.shtml,2020年03月17日 19:26,央视
拜耳中国公司澳籍女员工返京后执意外出 已被辞退,　　原标题：拜耳中国公司澳籍女员工返京后执意外出，已被辞退　　新京报讯（记者 张静雅）3月16日，一名澳籍女子返京后不戴口罩外出跑步，且不听劝阻大喊救命。今日（3月17日），新京报记者从北京朝阳区关北街社区防疫人员处获悉，经民警上门劝导，该女子表示会居家隔离。据了解，该女子系拜耳中国公司员工，目前，拜耳已做辞退处理。　　视频显示，一名女子自称是澳大利亚籍华人，返京后不仅拒绝隔离，且外出跑步时不戴口罩。社区工作者对其进行劝导，但该女子称：“我要锻炼身体，我病了谁管我？”最后竟高喊“救命，有人骚扰”，然后进屋关门。　　今日（3月17日），新京报记者从关北街社区防疫人员处了解到，事发时间为3月14日，小区居民发现有人没戴口罩跑步后，向社区反映情况。防疫人员找到该女子进行劝导，但对方情绪激动，拒绝遵守隔离14天的要求，仍表示要出门锻炼。无奈下，防疫人员只能寻求民警帮助。　　当天，辖区派出所民警上门调查，并对该女子进行劝导，最终该女子表示将配合防疫要求，居家隔离。　　3月17日下午，拜耳在微博发布声明称，经核实，该女子系拜耳中国公司员工，公司已对其做辞退处理。责任编辑：赵慧芳 ,https://finance.sina.com.cn/chanjing/gsnews/2020-03-17/doc-iimxxstf9783921.shtml,2020年03月17日 19:25,新京报网
韩国：不封城不停工，快速大量检测稳疫情,　　原标题：全球抗疫观︱韩国：不封城不停工，快速大量检测稳疫情　　近日，韩国新冠确诊人数连日下降，疫情得到有效控制，韩国不封城、不停工，普通市民还可以正常生活，本文将介绍韩国的防疫措施。　　韩国防疫体系及措施　　韩国新冠疫情大规模爆发的转折点为2月19日。前期，韩国防疫重点放在境外输入的管控，后期开始对国内社区型传播进行严格管理。在前期暴露出各种问题后，韩国紧急升级防疫体系。　　1）紧急构建中央到地方的协同指挥系统。　　2月23日，韩国正式发布新冠肺炎疫情最高级别“严重”预警，首次由国务总理级别人士担任“中央灾难安全对策本部”的本部长，构建了以“中央灾难安全对策本部”为指挥中心的全国防疫体系；在中央，以“中央应急处理本部”（由保健福祉部长官担任本部长）、“政府支援本部”（由行政安全部长官担任本部长）共同协调管理；在地方，以各地区“灾难安全对策本部”为基盘。　　2）加强对外部输入病例及扩散的严格管理。　　除了在机场等入境口岸进行红外线体温检查，以及填写健康问诊表以外，还要求疫区入境人员设置手机自我诊断系统APP，每天上传自己的体温情况，进行自我管理。发现异常可及时与诊疗中心联系。　　有一个细节，对于到医院就诊和到药店买药的有症状患者，需要提供海外旅行证明。看网络系统与出入境记录是否自动匹配，以确认患者是否来自疫区。　　3）初期发现后的措施：“鉴别诊疗所”。　　为了防止大规模扩散，初期发现十分重要。韩国政府设立前期“鉴别诊疗所”，对大量人员进行快速检查。鉴别诊疗所是针对怀疑自己被感染，去医疗机构前，可以前去检测的机构。至2020年3月5号，以保健所和医疗机构为基础，共设立了627处 “鉴别诊疗所”。其中，586处可以进行直接取样检测。　　为避免交叉感染，韩国部分地区采取了“得来速”式检查（Drive Thru）。免费检查（包括外国人），检查结束后回家等待，检测结果会发送至手机。“得来速”检查点可以通过手机导航或拨打1339新冠疫情热线进行查询。　　4）检测方法快速有效，医疗系统完善。　　在韩国，新冠病毒的检测机构和委托检测机构共计81家。截至3月14号，韩国已有261335人接受了检测。由于检测机构和制药生产企业的增加，每天最大的检测能力由3000名（2月7日）扩大到1万名（2月20日），目前最大日均检测能力达17000人。检测结果也仅需6个小时。　　韩国具备这样的检测能力是吸取了2015年中东呼吸综合征的教训。2019年1月，韩国通过了《医疗机器法》修订案，导入紧急使用认可制度，发生例如传染病时，如果国内没有获得审批的药物及试剂，可将研发中的药物进行测评，给予临时许可。原本药剂药品上市需一年的审查周期，现在短短几周就可以投放市场。　　在1月28日到2月28日一个月内，韩国疾病管理本部对新冠病毒检测相关的42个公司的64个申请进行了审核，已经完成了19个申请的审查，其中，4个紧急申请通过，6个因效果不明被驳回，1个因无效被否定，剩下8个仍在等待。紧急审查通过的4个产品已由韩国企业制造生产，3月9号公布的数据是，生产量达到15971kit（1kit可以检测25-50人次），部分已投放市场。　　在遭受2009年H1N1、2015年MERS两次冠状病毒侵袭后，韩国政府重新设计了紧急情况系统，并在全国各大医院和地方保健所都配备了RT-PCR检测装置。在这次疫情中起到了迅速诊断的作用。　　5）传染病学调查和隔离接触者阻止疫情扩散。　　当有确诊患者出现时，迅速查找感染源，隔离接触者。通过信用卡消费记录、CCTV监控调查、手机位置信息确认确诊患者的移动路径，帮助一般市民确认自己是否有接触可能。当发生集体感染时，中央疾病管理本部派遣各支援小组，协助地方进行传染病学调查。　　根据传染病学调查确诊患者24小时内的接触人员，对他们进行居家隔离，对隔离人进行一对一管理 。禁止其14天内出国，违反相关规定，进行1000万韩币（约6万人民币）或者1年以下的刑事处罚。被隔离期间，政府提供隔离补助。比如，一个四口之家，只要有家庭成员需要居家隔离，政府将每月提供123万韩元（约合人民币7200元）隔离补贴（以韩国居民滕本登记为准，滕本相当于中国的户口本），具体数额如下表所示，政府审核后发放。　　6）数据公开透明及时，消除民众恐慌　　韩国互联网基础设施发达，让基于个人终端的各种宣传与管理成为可能。　　首先，韩国中央防疫对策本部每天两次通报最新疫情，推出抗击新冠疫情专用网站，将各种政策信息、数据信息、管理措施、注意事项都公布在网站上，公开透明“轰炸式” 地向国民传递及时信息。之前韩国就已建立短信通知的“灾难预警”系统，在韩国生活时常会收到，例如地震、台风、降温、雾霾等预警信息。　　其次，韩国每个地区都会向居民发送疫情动态，当周围有人被确诊时，手机端会收到信息预警。每一位确诊患者对应一个编号，在充分保护确诊患者个人信息不泄露的前提下公开。以蔚山市为例，市民可以在政府主页上查看本地区的最新疫情数据、确诊患者移动路径、诊疗医院和预防行动指南。　　此外，还有很多基于数据信息的服务。比如，出现民众排队买口罩时，政府迅速推出“五部口罩”购买方案，在各个地区药店，按照出生年份的尾数限购。随后，很多基于口罩库存的APP被开发出来。　　落实每项措施的细节　　韩国政府的防疫措施按照5个步骤进行，每个环节的工作都可圈可点：　　1）公开透明信息的“轰炸式宣传”　　对民众进行“轰炸式宣传”，让大家认清疫情真相，平息各党派的争斗扯皮，禁止大规模集会，集中力量防控疫情。前期混乱状态结束后，韩国民众意识到问题的严重性，积极配合政府，自觉在家减少社交活动，基本出门都戴口罩，没有出现哄抢物资情况，生活正常。如果出现症状，绝大多数人自觉去“鉴别诊疗所”检查，提供真实信息。这都是建立在政府信息公开透明，对政策信任的基础上。　　2）检测大量病例　　当宗教团体出现大规模感染时，紧急划定大邱和庆尚北道为特别管控区，国家领导人坐镇大邱负责协调工作，防疫不封城，稳定民心。对该宗教团体进行超大规模筛查，对大邱采取特别支援措施，包括财政支持、军队支持、警察和医务人员支持。　　3）隔离感染者　　将中国的“方舱医院”经验升级为一人一室的生活治疗中心，隔离轻症患者。　　4）治疗患者　　除了全程免费治疗，还提供心理减压辅导。韩国疾病管理本部专门开通了“危机商谈热线”，患者及患者家属可以拨打02-2204-0001，隔离者和普通市民可以拨打1577-0199。　　5）消毒被污染环境　　由于新冠疫情对实体经济打击严重，尤其是餐饮业，确诊患者到过的餐厅，在网上曝光后都面临倒闭风险。韩国政府不仅对确诊患者到过的地点进行彻底消毒，而且发放安心“清净”标签，地方政府主动进行安心宣传，公务员带头到该餐厅吃饭，消除市民的不安情绪。　　此外，还有各种细节，比如在公共场所提供免费的酒精洗手液，可以看到韩、中、英语的宣传海报，对隔离人员以及受疫情影响的小业主提供的补贴政策等。　　在韩华人如何看待韩国措施　　就这个问题，笔者专门采访了居住在首尔地区的高校老师，以及蔚山的华人华侨及留学生。目前，在韩的中国同胞基本分为三种情况　　1）长期居住在韩国的华人华侨　　对韩国社会有所了解，可以接触到当地信息，看得懂韩语，理解时事新闻。疫情在韩国刚出现时比较慌乱，有些质疑韩国政府的措施。随着疫情发展，生活恢复正常，相信韩国可以有效控制疫情，积极配合政府，自觉居家隔离，尽量不出门社交。由于韩国政府政策的无差别对待，无论是本国人还是外国人，都提供免费治疗，提供隔离补助，让很多人心里有底，不会慌乱。　　2）2月底之前入境的留学生　　学生们表示，入境之前最焦虑，纠结到底要不要回韩国上课，是不是要休学，当时选择非常困难，疫情一天一变。入境后听从学校安排，在学校统一隔离14天，期间由学校提供伙食、住宿，统一消毒管理。在韩国疫情暴发期间，正好在校隔离，所以比较安全。现在韩国疫情趋于缓和，中国家人的焦虑情绪有所缓解。　　3）短期来韩工作的中国同胞　　这个群体比较焦虑，因为看不懂韩语，只能通过国内新闻或周围朋友了解信息，很被动，也不了解韩国政策，总担心韩国不能控制住疫情。也有的面临签证到期、护照换发等问题，需要得到帮助。　　针对以上情况，华人华侨的地方自治团体起到了一定作用。在此次新冠疫情初期，韩国政府、各地区友好城市以及各地区侨团都为中国疫区捐资捐物，而在韩国疫情暴发后，侨民组织也积极行动，为当地中国同胞解决困难，解读韩国政策，克服恐慌心理，搭建中韩交流的桥梁。　　比如，笔者所在的蔚山华人同胞协会就发起了一次募捐活动，短短三天时间迅速筹集了2000万韩币（约合人民币11.7万元），主要用于帮助受疫情影响的困难家庭，也有一部分款项送到了大邱。蔚山市各区政府收到捐款后，表示非常感谢，尤其是来自本地中国人团体的捐赠，意义非同寻常，当地新闻报纸也进行了报道。这个报道提振了当地华人华侨的士气，传递了温暖的信号。责任编辑：郑亚鹏 ,https://news.sina.com.cn/o/2020-03-17/doc-iimxxstf9682909.shtml,2020年03月17日 12:20,澎湃新闻
试水出海？国内在线问诊平台驰援海外疫情,　　原标题：试水出海？国内在线问诊平台驰援海外疫情　　借助这次疫情，国内的互联网医疗企业会不会开始试水业务出海？　　在抗击新冠肺炎疫情中，国内互联网医疗脱颖而出，不少国人尝试到在线问诊的便利。面对海外疫情不断升级形势，也有互联网医疗企业选择驰援。　　回顾前期，抗击国内新冠疫情中，不少互联网医疗平台一夜走红，迎来线上问诊数量暴增态势。曾有投资人对第一财经记者表示，在抗击疫情中，国内的互联网医疗平台用较低的成本完成了较好的用户教育，用户教育范围囊括患者、医生、政府三者。在以往，患者教育缓慢一度也是困扰行业的难题。　　如今，国内疫情逐渐得到控制下，海外疫情却日渐严峻。截至北京时间3月17日11时，除中国外，全球150余个国家和地区已累计确诊超过10万例新冠肺炎。除了京东健康外，包括阿里健康、微医、丁香园等也相继上线相关的海外服务平台，如阿里健康就宣布开通海外侨胞在线医疗咨询专区，在外侨胞如在当地就医不便，可选择通过支付宝APP连线国内医生进行在线健康咨询。　　借助这次疫情，国内的互联网医疗企业会不会开始试水业务出海？　　第一财经记者从多家企业了解到，其开通海外问诊平台，出发点还是基于公益考虑。　　丁香园方面相关人员也对第一财经记者表示，公司这次驰援海外问诊，目的主要是服务海外侨胞，出于社会责任考虑。从技术上，公司也解决了身份验证处理登陆难题；另外，公司也在扩大招募医生。　　也有其他互联网医疗企业人士对第一财经记者表示，目前要布局海外问诊业务有难度，原因在于海外各地的现实情况比较复杂，加上国情也不一致，比如有些国家本身有很完善的家庭医生体系，这部分已可以分担在线诊疗初期问诊的部分问题，因此对于在线问诊平台来说，后续如果没有相关配套的医疗体系，或难以惠及海外患者。责任编辑：赵慧芳 ,https://finance.sina.com.cn/chanjing/cyxw/2020-03-17/doc-iimxxstf9789938.shtml,2020年03月17日 20:00,第一财经
以色列政府批准使用反恐技术追踪新冠肺炎患者,　　原标题：以色列政府批准使用反恐技术追踪新冠肺炎患者　　新京报快讯（记者 陈沁涵）据《耶路撒冷邮报》报道，以色列政府当地时间3月15日批准使用反恐技术来追踪新冠肺炎患者的手机数据。以色列总理内塔尼亚胡表示：“我们正在和敌人作战，新冠病毒是无形的敌人。”　　经政府批准，以色列的国内安全部门辛贝特（Shin Bet）可以通过手机数据追踪新冠肺炎患者在确诊前14天内的行踪，以找到密切接触者，然后将这些人进行隔离。辛贝特获得这项授权的时效为30天，在有效期结束后必须完全删除此类信息。　　以色利总理办公室发布的声明指出，辛贝特不需要得到法院许可即可执行监测，但是政府将限制收集数据的范围、可访问的权限及其用途。这项特权仅可用于抗击新冠肺炎疫情。　　为应对疫情，以色列从15日起关闭国内所有餐厅、购物中心、电影院等娱乐设施，并要求企业尽可能实施居家办公。但超市、银行、药店、加油站等基本服务将保持开放，政府将确保物资储备充足。以色列还宣布禁止10人以上的聚会，要求公众彼此间保持2米的社交距离。　　据《以色列时报》报道，截至当地时间16日，以色列新冠肺炎确诊病例增至298例，其中1/4为无症状感染者。以色列卫生部称，多数患者为近期海外回国人士。　　新京报记者 陈沁涵责任编辑：范斯腾 ,https://news.sina.com.cn/c/2020-03-17/doc-iimxxstf9692154.shtml,2020年03月17日 12:58,新京报
日本：若经济进一步恶化，考虑额外宽松措施,　　原标题：日本：若经济进一步恶化，考虑额外宽松措施　　日本央行行长黑田东彦表示，阻止病毒扩散和支持收入是政府的工作。若经济进一步恶化，将会考虑额外宽松措施。责任编辑：郑亚鹏 ,https://news.sina.com.cn/w/2020-03-17/doc-iimxxstf9706918.shtml,2020年03月17日 13:50,界面新闻
发改委：充实完善稳定和扩大居民消费政策预案,　　原标题：发改委：充实完善稳定和扩大居民消费政策预案　　中国网地产讯 3月17日，国家发改委召开3月份例行新闻发布会，国家发改委新闻发言人和相关司局负责同志出席并答记者问。　　经济参考报记者：　　上周国家发改委会同相关部门联合出台《关于促进消费扩容提质 加快形成强大国内市场实施意见》，大家对这个文件提到的政策都十分关注，请问在当前防控疫情的同时，我们如何有效地抓好贯彻落实，更好改善居民消费预期。下一步，为了对冲疫情的影响，还有哪些促进消费的考虑和安排？谢谢。　　国家发改委就业司副司长常铁威：　　感谢您对消费政策的关心。党中央、国务院高度重视促进消费。这次疫情发生以来，习近平总书记多次强调，要稳定和扩大居民消费，促进消费回补和潜力释放。我们在做好疫情防控的同时，在去年以来重点行业领域一系列促消费政策措施的基础上，经过20多个部门反复沟通商量，协同发力，精准施策，综合全面提出了促进消费扩容提质，加快形成强大国内市场的六大方面十九项政策举措。通俗来讲，这个《实施意见》就是围绕促进居民愿消费、能消费、敢消费，从供给侧发力提高我国产品和服务的质量水平、从增强居民的消费能力、从营造安全放心的消费环境等角度，分别推出了增供给、优环境、强能力、扩市场的政策举措。　　在贯彻落实上，一是充分发挥完善促进消费体制机制部际联席会议制度的作用，统筹协调齐抓共促，形成合力。二是各有关部门明确了分工职责，细化实化具体任务，多措并举，推动落地见效。三是各地要落实主体责任，结合实际，抓好组织实施，同时要不断推广创新管用有效的好经验、好做法。　　当前，疫情对消费领域的冲击较大，但这一影响是暂时的。总的来看，我们的国内市场内部需求增长较快、持续成长性好、带动能力强，不久也将成为全球最大的国内消费市场。下一步，我们要坚决按照党中央、国务院决策部署，立足国内，着眼满足人民日益增长的美好生活需要，统筹消费增效、投资加力和民生改善，积极会同有关部门进一步充实完善稳定和扩大居民消费的政策预案。既要保障吃穿用行这样的基本消费，重振文化旅游和餐饮消费，把被冻结被抑制的消费释放出来，稳住传统消费和实物消费，又要培育升级新型消费，扩容提质服务消费，全面推广健康消费，把疫情期间催生壮大的以网络消费为代表的新消费潜力、动能释放出来，使消费回补和扩大增量有机结合，不断拓展消费新的增长点。谢谢记者朋友。责任编辑：霍琦 ,https://finance.sina.com.cn/china/gncj/2020-03-17/doc-iimxyqwa1107868.shtml,2020年03月17日 11:34,中国网
河北定州发生2死2伤命案 警方悬赏5万缉凶,　　原标题：河北定州发生2死2伤命案 警方悬赏5万缉凶　　中新网定州3月17日电 （记者 吕子豪）河北省定州市公安局17日发布警情通报称，2020年3月16日21时许，该市西城区某小区发生一起恶性刑事案件，致两人死亡，两人受伤。经调查，犯罪嫌疑人王力辉有重大作案嫌疑。　　案发后，定州市公安局迅速组织警力赶赴现场处置。经查，王力辉因家庭矛盾行凶，致女儿、儿子死亡，妻子、岳母受伤，案发后王力辉潜逃。目前，两名伤者正在医院接受救治，案件正在全力侦办中。　　同日，定州市公安局发布悬赏通告称，为尽快抓获犯罪嫌疑人，希望群众积极举报并提供相关线索，根据所提供线索抓获犯罪嫌疑人的，公安机关将给予5万元（人民币）奖励，并严格为提供线索者保密。对窝藏、包庇的，公安机关将依法严惩。联系电话：110，0312-2382041 联系人：刘警官15731291018 张警官15731290778　　警方悬赏通告称：王力辉，男，汉族，36岁，定州市周村镇塔耳洼村人，身高172cm，身材偏瘦。（完）责任编辑：祝加贝 ,https://news.sina.com.cn/o/2020-03-17/doc-iimxxstf9711797.shtml,2020年03月17日 14:21,中国新闻网
